Date,Close,High,Low,Open,Volume
2024-11-01,56503.19140625,57763.12534841338,56309.35541514794,57181.617375107206,19083180
2024-11-04,56890.85546875,57569.281343164395,56600.1015225724,56793.9374866908,15586947
2024-11-05,55824.76171875,56309.35166422526,55437.08976236979,56018.5976969401,17484474
2024-11-06,55534.00390625,56212.429782940664,54564.824082406194,55824.75785340314,22092218
2024-11-07,55534.00390625,56309.347765325045,55049.4139943281,55146.33197671248,17043102
2024-11-08,55243.25,56503.18377192983,55243.25,56212.429824561405,13877396
2024-11-11,53304.890625,55049.41431818182,53304.890625,54952.496335227275,29811326
2024-11-12,51366.53125,52917.21898584906,51366.53125,52917.21898584906,37962881
2024-11-13,49040.5,51366.53162055336,48943.58201581027,50397.35177865613,52527995
2024-11-14,48362.078125,50203.51997745491,48362.078125,48652.83210170341,48510715
2024-11-15,51851.11328125,52529.5390625,48749.73828125,48749.73828125,46774485
2024-11-18,54952.4921875,55727.83599261464,54177.148382385356,55243.24611441798,48095234
2024-11-19,54564.82421875,55727.84001026865,54177.152288243786,54758.66018400311,31539632
2024-11-20,53595.6484375,54758.664316794755,53111.05848779385,54370.992357029834,20864667
2024-11-21,54661.7421875,55146.33210050975,53014.13648326685,53207.97244847075,19096850
2024-11-22,54274.0703125,54952.49619140625,54177.15232979911,54274.0703125,15281543
2024-11-25,56115.51171875,56115.51171875,54952.495931832906,55630.92180753454,36237325
2024-11-26,56503.19140625,57084.69937955617,55727.84744184177,56115.51942404588,23209405
2024-11-27,54564.82421875,56018.59395814832,54274.07027087034,55921.67597552176,21808387
2024-11-28,53789.48046875,54661.74231418919,53498.72652027027,54274.070382882885,20001134
2024-11-29,52529.54296875,53595.640704278136,52141.87106492159,53401.80475236393,24513531
2024-12-02,51948.03515625,52723.37896455224,51463.4452760611,52626.46098851446,22044867
2024-12-03,51948.03515625,52723.37896455224,51463.4452760611,51463.4452760611,23374603
2024-12-04,51463.44921875,51754.20316913842,50397.35140065913,50397.35140065913,29004766
2024-12-05,52044.9609375,52723.38687150838,51560.37098463687,51560.37098463687,23588277
2024-12-06,52432.62890625,52723.38285582255,51075.777141578095,52238.7929398683,22861874
2024-12-09,51754.203125,52917.21892556179,51560.3671582397,51851.121108380146,26227680
